-DOCSTART- NN -X-

A DT O
64 CD B-Age
year NN I-Age
old JJ I-Age
female NN O
known VBN O
for IN O
HHT NNP B-Disease_disorder
is VBZ O
referred VBN O
to TO O
our PRP$ O
clinic NN B-Nonbiological_location
for IN O
recurrent NN B-Detailed_description
epistaxis NN B-Sign_symptom
for IN O
nearly RB B-Duration
50 CD I-Duration
years NNS I-Duration
. . O

She PRP O
has VBZ O
had VBN O
recurrent NN O
symptoms NNS O
since IN O
the DT O
age NN O
of IN O
16 CD O
when WRB O
her PRP$ O
condition NN O
was VBD O
diagnosed VBN O
. . O

All DT O
three CD O
of IN O
her PRP$ O
siblings NNS O
also RB O
were VBD O
diagnosed VBN O
with IN O
HHT NNP O
and CC O
her PRP$ O
mother NN O
passed VBD O
away RB O
from IN O
an DT O
intracranial JJ O
hemorrhage NN O
. . O

Eight CD O
years NNS O
prior RB O
to TO O
presentation VB O
she PRP O
had VBD O
undergone NN O
a DT O
left JJ B-Detailed_description
- : I-Detailed_description
sided VBN I-Detailed_description
septodermoplasty JJ B-Therapeutic_procedure
via IN O
a DT O
lateral JJ B-Detailed_description
rhinotomy NN B-Therapeutic_procedure
approach NN O
. . O

This DT O
operation NN O
had VBD O
significantly RB O
reduced VBN O
the DT O
frequency NN O
of IN O
her PRP$ O
symptoms NNS B-Sign_symptom
and CC O
for IN B-Duration
several JJ I-Duration
years NNS I-Duration
her PRP$ O
epistaxis NN B-Sign_symptom
was VBD O
under IN B-Lab_value
control NN I-Lab_value
with IN O
the DT O
use NN O
of IN O
low JJ B-Dosage
dose JJ I-Dosage
thalidomide NN B-Medication
. . O

However RB O
, , O
she PRP O
was VBD O
referred VBN O
to TO O
our PRP$ O
clinic NN B-Nonbiological_location
due JJ O
to TO O
increased VBN B-Detailed_description
epistaxis NN B-Sign_symptom
severity NN B-Severity
and CC O
frequency NN B-Frequency
over IN B-Duration
the DT I-Duration
prior JJ I-Duration
12 CD I-Duration
months NNS I-Duration
necessitating VBG O
more RBR O
frequent JJ O
transfusions NNS B-Therapeutic_procedure
. . O

At IN O
the DT O
time NN O
of IN O
consultation NN O
the DT O
patient NN O
was VBD O
concerned VBN O
about IN O
daily RB B-Frequency
severe JJ B-Severity
left NN B-Biological_structure
sided VBD I-Biological_structure
epistaxis JJ B-Sign_symptom
despite IN O
several JJ B-Duration
months NNS I-Duration
use IN O
of IN O
topical JJ O
bevacizumab NN B-Medication
and CC O
oral JJ O
tranexamic JJ B-Medication
acid NN I-Medication
. . O

She PRP O
required VBD O
intravenous JJ O
iron NN B-Medication
and CC O
blood NN B-Therapeutic_procedure
transfusions NNS I-Therapeutic_procedure
every DT B-Frequency
two CD I-Frequency
months NNS I-Frequency
. . O

Her PRP$ O
baseline NN O
hemoglobin NN B-Diagnostic_procedure
at IN O
the DT O
time NN O
of IN O
our PRP$ O
consultation NN O
was VBD O
75 CD B-Lab_value
g JJ I-Lab_value
/ NN I-Lab_value
L NNP I-Lab_value
( ( O
normal JJ O
= $ O
120 CD O
- : O
160 CD O
g NN O
/ NNP O
L NNP O
) ) O
. . O

Her PRP$ O
HHT NNP B-Diagnostic_procedure
epistaxis NN I-Diagnostic_procedure
severity NN I-Diagnostic_procedure
score VBP I-Diagnostic_procedure
[ $ O
17 CD O
] NN O
was VBD O
severe JJ B-Lab_value
( ( O
normalized JJ B-Lab_value
score NN I-Lab_value
9 CD I-Lab_value
. . I-Lab_value
49 CD I-Lab_value
) ) O
. . O

On IN O
examination NN B-Diagnostic_procedure
, , O
she PRP O
had VBD O
multiple JJ B-Detailed_description
telangiectasia NN B-Sign_symptom
on IN O
her PRP$ O
fingers NNS B-Biological_structure
, , O
face NN B-Biological_structure
, , O
lips NNS B-Biological_structure
and CC O
palate NN B-Biological_structure
. . O

Her PRP$ O
endoscopic NN B-Diagnostic_procedure
examination NN I-Diagnostic_procedure
revealed VBD O
bilateral JJ B-Detailed_description
telangiectasia NN B-Sign_symptom
along IN O
the DT O
nasal JJ B-Biological_structure
septum NN I-Biological_structure
. . O

There EX O
was VBD O
extensive JJ B-Severity
crusting NN B-Sign_symptom
along IN O
the DT O
entire JJ O
left NN B-Biological_structure
nasal NN I-Biological_structure
cavity NN I-Biological_structure
with IN O
which WDT O
any DT O
manipulation NN B-Diagnostic_procedure
resulted VBD O
in IN O
immediate JJ B-Detailed_description
profuse NN B-Severity
epistaxis NN B-Sign_symptom
. . O

Given VBN O
the DT O
severity NN O
of IN O
the DT O
patient NN O
` `` O
s JJ O
epistaxis NN O
despite IN O
medical JJ O
therapy NN O
, , O
she PRP O
was VBD O
offered VBN O
endoscopic NN B-Detailed_description
left VBD B-Detailed_description
- : I-Detailed_description
sided VBN I-Detailed_description
septodermoplasty NN B-Therapeutic_procedure
. . O

The DT O
surgical JJ O
goals NNS O
were VBD O
to TO O
improve VB O
her PRP$ O
quality NN O
of IN O
life NN O
by IN O
reducing VBG O
the DT O
number NN O
and CC O
severity NN O
of IN O
epistaxis JJ O
episodes NNS O
while IN O
diminishing VBG O
the DT O
need NN O
for IN O
blood NN O
transfusions NNS O
. . O

The DT O
patient NN O
was VBD O
content JJ O
with IN O
the DT O
treatment NN O
plan NN O
and CC O
agreed VBD O
to TO O
undergo VB O
surgical JJ O
intervention NN O
. . O

The DT O
endoscopic JJ B-Therapeutic_procedure
procedure NN I-Therapeutic_procedure
was VBD O
performed VBN O
under IN O
general JJ B-Medication
anesthesia NN I-Medication
with IN O
endotracheal JJ B-Detailed_description
intubation NN B-Therapeutic_procedure
. . O

The DT O
nasal JJ B-Biological_structure
cavity NN I-Biological_structure
was VBD O
prepared VBN B-Therapeutic_procedure
by IN O
inserting VBG B-Detailed_description
pledgets NNS I-Detailed_description
soaked VBN O
in IN O
topical JJ O
adrenaline NN B-Medication
( ( O
1:1000 CD B-Dosage
) ) O
placed VBN O
in IN O
both DT B-Biological_structure
nostrils NNS I-Biological_structure
for IN O
decongestion NN O
. . O

Using VBG B-Detailed_description
a DT I-Detailed_description
zero CD I-Detailed_description
degree NN I-Detailed_description
endoscope VBP I-Detailed_description
the DT O
residual JJ B-Biological_structure
STSG NNP I-Biological_structure
and CC I-Biological_structure
mucosa NN I-Biological_structure
of IN I-Biological_structure
the DT I-Biological_structure
left NN I-Biological_structure
septum NN I-Biological_structure
was VBD O
dissected VBN B-Therapeutic_procedure
in IN B-Detailed_description
a DT I-Detailed_description
supraperichondrial JJ I-Detailed_description
plane NN I-Detailed_description
that WDT O
resulted VBD O
in IN O
the DT O
expected JJ O
significant JJ B-Severity
diffuse NN B-Detailed_description
hemorrhage NN B-Sign_symptom
. . O

Immediate JJ B-Detailed_description
hemostasis NN B-Therapeutic_procedure
was VBD O
attained VBN O
using VBG O
a DT O
topical JJ B-Detailed_description
gelatin NN I-Detailed_description
- : I-Detailed_description
thrombin NN I-Detailed_description
matrix NN I-Detailed_description
, , O
Floseal NNP B-Detailed_description
( ( O
FloSeal NNP O
Hemostatic NNP O
Matrix NNP O
; : O
Baxter NNP O
Healthcare NNP O
Corporation NNP O
, , O
Deerfield NNP O
, , O
IL NNP O
, , O
USA NNP O
) ) O
( ( O
Fig NNP O
. . O
1 CD O
) ) O
. . O

The DT O
mucosal NN B-Sign_symptom
defect NN I-Sign_symptom
( ( O
Fig NNP O
. . O
2 CD O
) ) O
measured VBD O
approximately RB O
3 CD B-Distance
cm NNS I-Distance
in IN O
anterior JJ B-Detailed_description
- : I-Detailed_description
posterior JJ I-Detailed_description
dimension NN I-Detailed_description
. . O

A DT O
4 CD B-Area
x NN I-Area
2 CD I-Area
cm NN I-Area
split NN I-Area
thickness NN I-Area
skin NN B-Therapeutic_procedure
graft NN I-Therapeutic_procedure
was VBD I-Therapeutic_procedure
harvested VBN I-Therapeutic_procedure
from IN O
the DT O
right JJ B-Biological_structure
thigh NN I-Biological_structure
, , O
pie SYM B-Detailed_description
- : I-Detailed_description
crusted VBN I-Detailed_description
with IN I-Detailed_description
a DT I-Detailed_description
15 CD I-Detailed_description
blade NN I-Detailed_description
and CC O
then RB O
placed VBD B-Detailed_description
endoscopically RB I-Detailed_description
along IN B-Biological_structure
the DT I-Biological_structure
length NN I-Biological_structure
of IN I-Biological_structure
the DT I-Biological_structure
septal JJ I-Biological_structure
defect NN I-Biological_structure
. . O

As IN O
seen VBN O
in IN O
Fig NNP O
. . O
3 CD O
, , O
the DT O
graft NN O
was VBD O
placed VBN O
with IN O
an DT O
overlap NN B-Biological_structure
of IN I-Biological_structure
the DT I-Biological_structure
mucosa NN I-Biological_structure
of IN I-Biological_structure
the DT I-Biological_structure
nasal JJ I-Biological_structure
floor NN I-Biological_structure
and CC I-Biological_structure
the DT I-Biological_structure
residual JJ I-Biological_structure
superior JJ I-Biological_structure
septal JJ I-Biological_structure
mucosa NN I-Biological_structure
. . O

Finally RB O
, , O
2 CD B-Volume
mL NN I-Volume
of IN O
fibrin NN B-Detailed_description
sealant NN I-Detailed_description
( ( O
TISSEEL NNP O
fibrin RB O
sealant NN O
, , O
Baxter NNP O
Healthcare NNP O
Corporation NNP O
, , O
Deerfield NNP O
, , O
IL NNP O
, , O
USA NNP O
) ) O
was VBD O
then RB O
applied VBN B-Detailed_description
first RB I-Detailed_description
to TO I-Detailed_description
the DT I-Detailed_description
edges NNS I-Detailed_description
then RB I-Detailed_description
central JJ I-Detailed_description
portion NN I-Detailed_description
of IN I-Detailed_description
the DT I-Detailed_description
STSG NNP I-Detailed_description
( ( O
Fig NNP O
. . O
4 CD O
) ) O
. . O

Packing VBG B-Therapeutic_procedure
was VBD O
not RB O
used VBN O
post NN O
- : O
operatively RB O
and CC O
the DT O
patient NN O
was VBD O
discharged VBN O
home NN B-Nonbiological_location
on IN O
the DT O
same JJ O
day NN O
of IN O
surgery NN O
. . O

Clinical JJ O
follow NN O
- : O
up RB O
two CD O
weeks NNS O
after IN O
surgery NN O
( ( O
Fig NNP O
. . O
5 CD O
) ) O
showed VBD O
that IN O
the DT O
entire JJ O
graft NN B-Sign_symptom
had VBD I-Sign_symptom
taken VBN I-Sign_symptom
and CC O
the DT O
left JJ B-Detailed_description
- : I-Detailed_description
sided VBD I-Detailed_description
epistaxis NN B-Sign_symptom
had VBD O
dramatically RB O
diminished VBN O
. . O

The DT O
patient NN O
was VBD O
very RB O
content JJ O
with IN O
the DT O
results NNS O
of IN O
the DT O
procedure NN O
. . O

At IN O
6 CD O
months NNS O
follow VBP O
- : O
up RB O
, , O
her PRP O
baseline NN O
hemoglobin NN B-Diagnostic_procedure
had VBD O
improved VBN O
to TO O
102 CD B-Lab_value
g NNS I-Lab_value
/ JJ I-Lab_value
L NNP I-Lab_value
and CC O
she PRP O
was VBD O
requiring VBG O
transfusions NNS B-Therapeutic_procedure
every DT B-Frequency
4 CD I-Frequency
months NNS I-Frequency
with IN O
her PRP$ O
hematologist NN O
` `` O
s JJ O
intent NN O
to TO O
stop VB O
the DT O
transfusions NNS O
if IN O
her PRP$ O
hemoglobin NN O
remained VBD O
greater JJR O
than IN O
100 CD O
g JJ O
/ NNP O
L NNP O
. . O

Her PRP$ O
epistaxis JJ B-Diagnostic_procedure
severity NN I-Diagnostic_procedure
score NN I-Diagnostic_procedure
at IN O
6 CD O
month NN O
follow VBD O
up RP O
was VBD O
mild JJ B-Lab_value
( ( O
normalized VBN B-Lab_value
score RB I-Lab_value
3 CD I-Lab_value
. . I-Lab_value
05 CD I-Lab_value
) ) O
. . O

-DOCSTART- NN -X-

A DT O
45 CD B-Age
- : I-Age
year NN I-Age
- : I-Age
old JJ I-Age
lady NN O
sought VBD O
dermatology NN O
consultation NN O
for IN O
severely RB B-Texture
tender NN I-Texture
erythematous JJ B-Detailed_description
vesicles NNS B-Sign_symptom
and CC O
bullae NN B-Sign_symptom
over IN O
back RB B-Biological_structure
, , O
chest NN B-Biological_structure
and CC O
arms NNS B-Biological_structure
. . O

These DT O
were VBD O
sudden JJ B-Detailed_description
in IN I-Detailed_description
onset NN I-Detailed_description
associated VBN O
with IN O
fever NN B-Sign_symptom
, , O
nausea NN B-Sign_symptom
and CC O
malaise NN B-Sign_symptom
. . O

Along IN O
with IN O
this DT O
she PRP O
also RB O
complained VBD O
of IN O
pain NN B-Sign_symptom
in IN O
upper JJ B-Biological_structure
abdomen NNS I-Biological_structure
. . O

There EX O
was VBD O
no DT O
history NN O
of IN O
receiving VBG O
any DT O
drugs NNS B-Medication
prior RB B-Time
to TO I-Time
the DT I-Time
onset NN I-Time
of IN I-Time
lesions NNS I-Time
. . O

She PRP O
did VBD O
not RB O
report VB O
any DT O
significant JJ B-Detailed_description
weight JJ B-Sign_symptom
loss NN I-Sign_symptom
or CC O
loss NN B-Sign_symptom
of IN I-Sign_symptom
appetite NN I-Sign_symptom
. . O

On IN O
physical JJ B-Diagnostic_procedure
examination NN I-Diagnostic_procedure
, , O
her PRP$ O
