-DOCSTART- -X- -X- -X- O

A	O
41	B-Age
-	I-Age
year	I-Age
-	I-Age
old	I-Age
man	O
with	O
weight	B-Sign_symptom
loss	I-Sign_symptom
,	O
nausea	B-Sign_symptom
,	O
vomiting	B-Sign_symptom
,	O
and	O
abdominal	B-Biological_structure
pain	B-Sign_symptom
was	O
referred	O
for	O
an	O
abdominal	B-Biological_structure
CT	B-Diagnostic_procedure
scan	I-Diagnostic_procedure
to	O
rule	O
out	O
intraabdominal	B-Disease_disorder
pathology	I-Disease_disorder
.	O

A	O
dedicated	O
CT	B-Diagnostic_procedure
of	O
the	O
abdomen	B-Biological_structure
was	O
performed	O
at	O
our	O
institution	B-Nonbiological_location
according	O
to	O
our	O
standard	B-Detailed_description
venous	I-Detailed_description
phase	I-Detailed_description
protocol	I-Detailed_description
.	O

Following	O
ingestion	O
of	O
positive	B-Diagnostic_procedure
oral	I-Diagnostic_procedure
contrast	I-Diagnostic_procedure
material	O
(	O
barium	B-Medication
sulfate	I-Medication
suspension	I-Medication
2	B-Dosage
.	I-Dosage
1	I-Dosage
%	I-Dosage
w	I-Dosage
/	I-Dosage
v	I-Dosage
,	O
Mallinckrodt	B-Detailed_description
)	O
and	O
injection	O
of	O
125	B-Dosage
ml	I-Dosage
of	O
iopromide	B-Medication
,	O
300	B-Dosage
mg	I-Dosage
I	I-Dosage
/	I-Dosage
mL	I-Dosage
(	O
Ultravist	B-Detailed_description
,	I-Detailed_description
Bayer	I-Detailed_description
HealthCare	I-Detailed_description
)	O
,	O
helical	B-Detailed_description
CT	O
was	O
obtained	O
with	O
a	O
65	B-Detailed_description
-	I-Detailed_description
s	I-Detailed_description
delays	I-Detailed_description
using	O
a	O
64	B-Detailed_description
-	I-Detailed_description
slice	I-Detailed_description
GE	I-Detailed_description
Lightspeed	I-Detailed_description
VCT	I-Detailed_description
scanner	I-Detailed_description
(	O
GE	B-Detailed_description
Medical	I-Detailed_description
Systems	I-Detailed_description
;	I-Detailed_description
Milwaukee	I-Detailed_description
,	I-Detailed_description
WI	I-Detailed_description
)	O
.	O

