-DOCSTART- NN -X-

A DT O
41 CD B-Age
- : I-Age
year NN I-Age
- : I-Age
old JJ I-Age
man NN O
with IN O
weight JJ B-Sign_symptom
loss NN I-Sign_symptom
, , O
nausea NN B-Sign_symptom
, , O
vomiting NN B-Sign_symptom
, , O
and CC O
abdominal JJ B-Biological_structure
pain NN B-Sign_symptom
was VBD O
referred VBN O
for IN O
an DT O
abdominal JJ B-Biological_structure
CT NNP B-Diagnostic_procedure
scan NN I-Diagnostic_procedure
to TO O
rule VB O
out RP O
intraabdominal JJ B-Disease_disorder
pathology NN I-Disease_disorder
. . O

A DT O
dedicated JJ O
CT NNP B-Diagnostic_procedure
of IN O
the DT O
abdomen NNS B-Biological_structure
was VBD O
performed VBN O
at IN O
our PRP$ O
institution NN B-Nonbiological_location
according VBG O
to TO O
our PRP$ O
standard JJ B-Detailed_description
venous JJ I-Detailed_description
phase NN I-Detailed_description
protocol NN I-Detailed_description
. . O

Following VBG O
ingestion NN O
of IN O
positive JJ B-Diagnostic_procedure
oral JJ I-Diagnostic_procedure
contrast NN I-Diagnostic_procedure
material NN O
( ( O
barium JJ B-Medication
sulfate NN I-Medication
suspension NN I-Medication
2 CD B-Dosage
. . I-Dosage
1 CD I-Dosage
% NN I-Dosage
w NN I-Dosage
/ NNP I-Dosage
v NN I-Dosage
, , O
Mallinckrodt NNP B-Detailed_description
) ) O
and CC O
injection NN O
of IN O
125 CD B-Dosage
ml NN I-Dosage
of IN O
iopromide NN B-Medication
, , O
300 CD B-Dosage
mg NN I-Dosage
I PRP I-Dosage
/ VBP I-Dosage
mL NNS I-Dosage
( ( O
Ultravist NNP B-Detailed_description
, , I-Detailed_description
Bayer NNP I-Detailed_description
HealthCare NNP I-Detailed_description
) ) O
, , O
helical JJ B-Detailed_description
CT NNP O
was VBD O
obtained VBN O
with IN O
a DT O
65 CD B-Detailed_description
- : I-Detailed_description
s NN I-Detailed_description
delays NNS I-Detailed_description
using VBG O
a DT O
64 CD B-Detailed_description
- : I-Detailed_description
slice NN I-Detailed_description
GE NNP I-Detailed_description
Lightspeed NNP I-Detailed_description
VCT NNP I-Detailed_description
scanner NN I-Detailed_description
( ( O
GE NNP B-Detailed_description
Medical NNP I-Detailed_description
Systems NNPS I-Detailed_description
; : I-Detailed_description
Milwaukee NNP I-Detailed_description
, , I-Detailed_description
WI NNP I-Detailed_description
) ) O
. . O

Axial JJ B-Diagnostic_procedure
sections NNS I-Diagnostic_procedure
of IN O
the DT O
abdomen NNS B-Biological_structure
showed VBD O
a DT O
large JJ B-Lab_value
( ( O
18 CD B-Volume
× RB I-Volume
22 CD I-Volume
× JJ I-Volume
22 CD I-Volume
cm NN I-Volume
) ) O
heterogeneous JJ B-Detailed_description
retroperitoneal JJ B-Biological_structure
mass NN B-Sign_symptom
probably RB O
arising VBG O
from IN O
the DT O
left JJ B-Biological_structure
adrenal JJ I-Biological_structure
gland NN I-Biological_structure
containing VBG O
multiple JJ B-Detailed_description
areas NNS I-Detailed_description
of IN I-Detailed_description
macroscopic NN I-Detailed_description
fat NN I-Detailed_description
( ( O
Fig NNP O
. . O
1 CD O
) ) O
. . O

The DT O
patient NN O
had VBD O
no DT O
documented JJ O
clinical JJ O
or CC O
laboratory JJ O
evidence NN O
of IN O
adrenal JJ O
hormonal JJ O
excess NN O
. . O

On IN O
the DT O
basis NN O
of IN O
the DT O
clinical JJ O
history NN O
and CC O
CT NNP O
findings NNS O
, , O
the DT O
patient JJ O
underwent JJ O
surgical JJ B-Therapeutic_procedure
resection NN I-Therapeutic_procedure
of IN O
the DT O
left JJ B-Biological_structure
adrenal JJ I-Biological_structure
mass NN B-Sign_symptom
, , O
which WDT O
was VBD O
found VBN O
on IN O
pathologic JJ B-Diagnostic_procedure
examination NN I-Diagnostic_procedure
to TO O
represent VB O
a DT O
low JJ B-Severity
- : I-Severity
grade NN I-Severity
adrenocortical JJ B-Disease_disorder
carcinoma NN I-Disease_disorder
. . O

-DOCSTART- NN -X-

A DT O
61 CD B-Age
- : I-Age
year NN I-Age
- : I-Age
old JJ I-Age
male JJ O
patient NN O
had VBD O
a DT O
history NN O
of IN O
chronic JJ O
obstructive JJ O
pulmonary JJ O
disease NN O
under IN O
regular JJ O
bronchodilator NN O
treatment NN O
. . O

In IN O
2014 CD O
, , O
he PRP O
suffered VBD O
from IN O
severe JJ B-Severity
productive JJ B-Detailed_description
cough NN B-Sign_symptom
with IN O
mucus NN B-Detailed_description
sputum NN I-Detailed_description
for IN B-Duration
several JJ I-Duration
months NNS I-Duration
and CC O
unintentional JJ B-Detailed_description
body NN O
weight VBD B-Sign_symptom
loss NN I-Sign_symptom
6 CD B-Lab_value
kg NN I-Lab_value
within IN B-Duration
6 CD I-Duration
months NNS I-Duration
. . O

After IN O
sputum JJ B-Diagnostic_procedure
analysis NN I-Diagnostic_procedure
and CC O
chest NN B-Biological_structure
imaging NN B-Diagnostic_procedure
examinations NNS I-Diagnostic_procedure
in IN O
May NNP O
2014 CD O
, , O
he PRP O
was VBD O
diagnosed VBN O
of IN O
squamous JJ B-Disease_disorder
cell NN I-Disease_disorder
carcinoma NN I-Disease_disorder
in IN O
right JJ B-Biological_structure
upper JJ I-Biological_structure
lobe NN I-Biological_structure
lung NN I-Biological_structure
( ( O
cT3N2M0 NN B-Lab_value
, , O
stage NN B-Lab_value
IIIa NNP I-Lab_value
) ) O
. . O

Then RB O
he PRP O
received VBD O
neoadjuvant JJ B-Detailed_description
chemoradiotherapy NN B-Therapeutic_procedure
( ( O
etoposide JJ B-Medication
70 CD B-Dosage
mg NN I-Dosage
[ VBD I-Dosage
45 CD I-Dosage
mg NN I-Dosage
/ NNP I-Dosage
m2 NN I-Dosage
] NNP I-Dosage
+ NNP O
cisplatin VBD B-Medication
79 CD B-Dosage
mg NN I-Dosage
[ VBD I-Dosage
50 CD I-Dosage
mg NN I-Dosage
/ NNP I-Dosage
m2 NN I-Dosage
] NN I-Dosage
; : O
4500 CD B-Dosage
cGY NN I-Dosage
in IN I-Dosage
25 CD I-Dosage
fractions NNS I-Dosage
) ) O
from IN B-Duration
June NNP I-Duration
to TO I-Duration
July NNP I-Duration
2014 CD I-Duration
. . O

In IN O
October NNP O
2014 CD O
, , O
surgical JJ B-Therapeutic_procedure
intervention NN I-Therapeutic_procedure
was VBD O
arranged VBN O
. . O

Because IN O
the DT O
tumor NN B-Sign_symptom
was VBD O
located VBN O
at IN O
right JJ B-Biological_structure
hilum NN I-Biological_structure
and CC O
invaded VBD O
main JJ B-Biological_structure
bronchus NN I-Biological_structure
and CC O
major JJ B-Biological_structure
vessels NNS I-Biological_structure
, , O
video SYM B-Detailed_description
- : I-Detailed_description
assisted VBN I-Detailed_description
thoracoscopic NN B-Detailed_description
surgery NN B-Therapeutic_procedure
with IN O
right JJ B-Detailed_description
side NN I-Detailed_description
intrapericardial JJ B-Biological_structure
pneumonectomy NN B-Therapeutic_procedure
was VBD O
performed VBN O
. . O

Postoperatively RB O
, , O
pathological JJ B-Diagnostic_procedure
exams NN I-Diagnostic_procedure
revealed VBD O
squamous JJ B-Disease_disorder
cell NN I-Disease_disorder
carcinoma NN I-Disease_disorder
, , O
T3N0M0 NNP B-Lab_value
, , O
stage NN B-Lab_value
IIB NNP I-Lab_value
. . O

The DT O
postoperative JJ B-Therapeutic_procedure
course NN I-Therapeutic_procedure
was VBD O
smooth JJ B-Lab_value
but CC O
he PRP O
suffered VBD O
from IN O
severe JJ B-Severity
cough NN B-Sign_symptom
and CC O
right JJ B-Biological_structure
chest NN I-Biological_structure
pain NN B-Sign_symptom
one CD O
month NN O
later RB O
. . O

Laboratory NNP B-Diagnostic_procedure
exams NNS I-Diagnostic_procedure
revealed VBD O
leukocytosis NN B-Sign_symptom
( ( O
white JJ B-Diagnostic_procedure
blood NN I-Diagnostic_procedure
cells NNS I-Diagnostic_procedure
= VBP O
21,860 CD B-Lab_value
μL NN I-Lab_value
) ) O
and CC O
elevated VBN B-Lab_value
C NNP B-Diagnostic_procedure
- : I-Diagnostic_procedure
reactive JJ I-Diagnostic_procedure
protein NN I-Diagnostic_procedure
to TO O
23 CD B-Lab_value
. . I-Lab_value
94 CD I-Lab_value
mg JJ I-Lab_value
/ NNP I-Lab_value
dL NN I-Lab_value
. . O

Chest NNP B-Biological_structure
X NNP B-Diagnostic_procedure
- : I-Diagnostic_procedure
ray NN I-Diagnostic_procedure
showed VBD O
cavitary JJ B-Detailed_description
lesion NN B-Sign_symptom
and CC O
computed VBD B-Diagnostic_procedure
tomography NN I-Diagnostic_procedure
showed VBD O
pleural JJ B-Sign_symptom
effusion NN I-Sign_symptom
and CC O
fluid NN B-Sign_symptom
collection NN I-Sign_symptom
with IN O
mottled VBN B-Detailed_description
gas NN I-Detailed_description
appearance NN I-Detailed_description
in IN O
the DT O
dependent JJ B-Biological_structure
portion NN I-Biological_structure
of IN I-Biological_structure
right JJ I-Biological_structure
hemithorax NN I-Biological_structure
( ( O
Fig NNP O
. . O
1A CD O
) ) O
. . O

According VBG O
to TO O
the DT O
patient NN O
` `` O
s JJ O
history NN O
, , O
results NNS O
of IN O
laboratory JJ O
exams NNS O
, , O
and CC O
imaging VBG O
findings NNS O
, , O
postpneumonectomy NN B-Detailed_description
empyema NN B-Sign_symptom
was VBD O
diagnosed VBN O
and CC O
bronchopleural JJ B-Disease_disorder
fistula NN I-Disease_disorder
was VBD O
highly RB O
suspected VBN O
. . O

After IN O
admission NN O
, , O
chest VBP B-Biological_structure
tube NN B-Therapeutic_procedure
drainage NN I-Therapeutic_procedure
was VBD O
inserted VBN O
and CC O
bronchoscopic JJ B-Detailed_description
tissue NN B-Therapeutic_procedure
glue NN I-Therapeutic_procedure
sealing NN I-Therapeutic_procedure
was VBD O
performed VBN O
. . O

However RB O
, , O
persistent JJ B-Detailed_description
air NN B-Sign_symptom
leakage NN I-Sign_symptom
was VBD O
presented VBN O
and CC O
we PRP O
decided VBD O
to TO O
repair VB B-Therapeutic_procedure
the DT O
bronchial JJ B-Biological_structure
stump NN I-Biological_structure
with IN O
flap JJ B-Therapeutic_procedure
coverage NN I-Therapeutic_procedure
. . O

Because IN O
the DT O
patient NN O
just RB O
received VBN O
neoadjuvant JJ B-Detailed_description
chemoradiotherapy NN B-Therapeutic_procedure
a DT O
few JJ O
months NNS O
ago RB O
, , O
the DT O
flaps NNS O
harvested VBN O
from IN O
chest JJ O
area NN O
were VBD O
not RB O
appropriate JJ O
because IN O
the DT O
pedicle NN O
arteries NNS O
might MD O
have VB O
been VBN O
injured VBN O
by IN O
irradiation NN O
. . O

After IN O
discussing VBG O
with IN O
the DT O
plastic NN O
surgeon NN O
, , O
we PRP O
decided VBD O
to TO O
repair VB B-Therapeutic_procedure
the DT O
bronchial JJ B-Biological_structure
stump NN I-Biological_structure
by IN O
a DT O
TRAM NNP B-Therapeutic_procedure
flap NN I-Therapeutic_procedure
. . O

Intraoperatively RB O
, , O
the DT O
patient NN O
was VBD O
placed VBN B-Therapeutic_procedure
in IN I-Therapeutic_procedure
supine NN I-Therapeutic_procedure
. . O

Right JJ B-Detailed_description
side NN I-Detailed_description
exploratory NN B-Detailed_description
thoracotomy NN B-Diagnostic_procedure
was VBD O
performed VBN O
and CC O
the DT O
bronchial JJ B-Biological_structure
stump NN I-Biological_structure
was VBD O
located VBN O
. . O

The DT O
superior JJ B-Biological_structure
epigastric JJ I-Biological_structure
vascular JJ I-Biological_structure
artery NN I-Biological_structure
and CC O
right JJ B-Biological_structure
rectus NN I-Biological_structure
abdominis NN I-Biological_structure
muscle NN I-Biological_structure
was VBD O
identified VBN O
and CC O
the DT O
location NN O
of IN O
the DT O
TRAM NNP B-Therapeutic_procedure
flap NN I-Therapeutic_procedure
was VBD O
marked VBN B-Detailed_description
on IN I-Detailed_description
the DT I-Detailed_description
skin NN I-Detailed_description
( ( O
Fig NNP O
. . O
2A CD O
) ) O
. . O

Then RB O
the DT O
TRAM NNP B-Therapeutic_procedure
flap NN I-Therapeutic_procedure
was VBD O
harvested VBN B-Therapeutic_procedure
from IN O
right JJ B-Biological_structure
rectus NN I-Biological_structure
abdominis NN I-Biological_structure
( ( O
Fig NNP O
. . O
2B CD O
) ) O
and CC O
was VBD O
deepithelialized VBN B-Therapeutic_procedure
( ( O
Fig NNP O
. . O
2C CD O
) ) O
. . O

Through IN O
a DT O
subcutaneous JJ B-Therapeutic_procedure
tunnel NN I-Therapeutic_procedure
, , O
the DT O
TRAM NNP B-Therapeutic_procedure
flap NN I-Therapeutic_procedure
was VBD O
moved VBN O
toward IN O
the DT O
right JJ B-Biological_structure
thoracic NN I-Biological_structure
space NN I-Biological_structure
with IN O
no DT O
tension NN B-Sign_symptom
or CC O
kinking VBG B-Sign_symptom
on IN O
the DT O
pedicle NN B-Biological_structure
( ( O
Fig NNP O
. . O
2D CD O
) ) O
. . O

Then RB O
the DT O
